NAVISOL v4 - COMPLETE STRUCTUUR ANALYSE,,,,,,,
Gegenereerd op: 11 januari 2026,,,,,,,
,,,,,,,
=== SECTIE 1: SCREENS & COMPONENTS ===,,,,,,,
Type,Naam,Bestand,Regels,Categorie,Functionaliteit,Gerelateerd Aan,Probleem/Opmerking
SCREEN,V4App,src/v4/screens/V4App.tsx,728,Navigation,Main app shell + routing + sidebar navigation,All screens,Central navigation hub
SCREEN,DashboardScreen,src/v4/screens/DashboardScreen.tsx,491,Overview,KPIs + projects by status + revenue pipeline + recent activity,ProjectRepository,Geen planning data zichtbaar
SCREEN,ProjectListScreen,src/v4/screens/ProjectListScreen.tsx,403,Projects,Project cards + filters + search,ProjectRepository,Geen planning indicators op cards
SCREEN,ProjectDetailScreen,src/v4/screens/ProjectDetailScreen.tsx,2519,Projects,Mega component met alle project tabs (Overview/Config/Quotes/BOM/Production/Compliance/Planning/Documents/History),PlanningTab + ProductionTab + ComplianceTab,Te groot - 2500+ regels
SCREEN,ClientListScreen,src/v4/screens/ClientListScreen.tsx,539,CRM,Client CRUD + contact persons,ClientRepository,
SCREEN,LibraryScreen,src/v4/screens/LibraryScreen.tsx,1745,Library,Articles/Kits/Boat Models/Templates management,LibraryRepository,Groot maar logisch georganiseerd
SCREEN,SettingsScreen,src/v4/screens/SettingsScreen.tsx,2278,System,Company info + VAT + Quote templates + Procedures + Task sets,SettingsRepository,Te groot - bevat te veel domeinen
SCREEN,ProjectPlannerScreen,src/v4/screens/ProjectPlannerScreen.tsx,605,Planning,Portfolio Gantt view - alle projecten met taken,ProjectRepository,READ-ONLY - kan niet editen
SCREEN,ResourcePlannerScreen,src/v4/screens/ResourcePlannerScreen.tsx,693,Planning,Resource allocation view - taken per resource,ProjectRepository,READ-ONLY - kan niet editen
SCREEN,ShopfloorBoardScreen,src/v4/screens/ShopfloorBoardScreen.tsx,1036,Planning,Kanban board - drag & drop status changes,ProjectRepository,Alleen status wijzigen - geen task edit
